I_bias_A,L_ac_H,I_ac_wdg_A
1.5810169491525425,8.509991206936976e-06,0.4
1.6316949152542375,8.380177667626617e-06,0.4
1.6823728813559324,8.255141677693342e-06,0.4
1.7330508474576274,8.134490397352567e-06,0.4
1.7837288135593223,8.01815383823634e-06,0.4
1.8344067796610173,7.906115213369896e-06,0.4
1.885084745762712,7.79817982818921e-06,0.4
1.935762711864407,7.694347503493831e-06,0.4
1.986440677966102,7.5944536666466946e-06,0.4
2.037118644067797,7.4984728923026565e-06,0.4
2.0877966101694914,7.40629987202348e-06,0.4
2.1384745762711863,7.317844714617284e-06,0.4
2.1891525423728813,7.232990167884089e-06,0.4
2.239830508474576,7.1516749841226795e-06,0.4
2.290508474576271,7.073951004748539e-06,0.4
2.341186440677966,6.99996754056982e-06,0.4
2.391864406779661,6.929671826136432e-06,0.4
2.442542372881356,6.862899375390674e-06,0.4
2.493220338983051,6.799448846205362e-06,0.4
2.543898305084746,6.739091198159396e-06,0.4
2.594576271186441,6.681547882357562e-06,0.4
2.645254237288136,6.626488536267557e-06,0.4
2.6959322033898308,6.5737418123108525e-06,0.4
2.7466101694915257,6.523157707183162e-06,0.4
2.7972881355932206,6.474564126068099e-06,0.4
2.847966101694915,6.427892164979858e-06,0.4
2.89864406779661,6.382989572621745e-06,0.4
2.949322033898305,6.339795380732085e-06,0.4
3.0,6.298317040614012e-06,0.4
0.01,3.5225025219188915e-05,0.6
0.06067796610169492,3.4815306859014115e-05,0.6
0.11135593220338984,3.3240011363145485e-05,0.6
0.16203389830508477,3.118532858567655e-05,0.6
0.2127118644067797,2.8410687354947835e-05,0.6
0.26338983050847464,2.5960299269520534e-05,0.6
0.31406779661016954,2.39511480355882e-05,0.6
0.36474576271186443,2.2142804406872732e-05,0.6
0.4154237288135594,2.0279189530391236e-05,0.6
0.4661016949152543,1.8653708958109517e-05,0.6
0.5167796610169493,1.7474888722132584e-05,0.6
0.5674576271186441,1.6677045588537668e-05,0.6
0.6181355932203391,1.609062561885127e-05,0.6
0.668813559322034,1.550253834493e-05,0.6
0.7194915254237289,1.481599605222068e-05,0.6
0.7701694915254238,1.405655623093097e-05,0.6
0.8208474576271187,1.328732329513639e-05,0.6
0.8715254237288137,1.2573028645437594e-05,0.6
0.9222033898305086,1.1952961876242239e-05,0.6
0.9728813559322035,1.1429125456440352e-05,0.6
1.0235593220338985,1.0985419291131751e-05,0.6
1.0742372881355933,1.0605781048761895e-05,0.6
1.1249152542372882,1.0276142264356643e-05,0.6
1.1755932203389832,9.986864333763833e-06,0.6
1.2262711864406781,9.731856173492084e-06,0.6
1.276949152542373,9.505585521551521e-06,0.6
1.327627118644068,9.302573745158742e-06,0.6
1.378305084745763,9.118704669753287e-06,0.6
1.4289830508474577,8.950853378742669e-06,0.6
